filename,path,pseudo_label,raw_ocr_text,confidence,error
0001.jpg,calli-kaggle\data\data\train\oyx\0001.jpg,章,章,0.9991927742958069,
0002.jpg,calli-kaggle\data\data\train\oyx\0002.jpg,妇,妇,0.9980738162994385,
0003.jpg,calli-kaggle\data\data\train\oyx\0003.jpg,緬,緬,0.9218670129776001,
0004.jpg,calli-kaggle\data\data\train\oyx\0004.jpg,庵,庵,0.9958320260047913,
0005.jpg,calli-kaggle\data\data\train\oyx\0005.jpg,UNKNOWN,,0.0,
0006.jpg,calli-kaggle\data\data\train\oyx\0006.jpg,兰,兰,0.9959040284156799,
0007.jpg,calli-kaggle\data\data\train\oyx\0007.jpg,免,免,0.9936321377754211,
0008.jpg,calli-kaggle\data\data\train\oyx\0008.jpg,诵,诵,0.9951158761978149,
0009.jpg,calli-kaggle\data\data\train\oyx\0009.jpg,搅,搅,0.9968895316123962,
0010.jpg,calli-kaggle\data\data\train\oyx\0010.jpg,奥,奥,0.862703263759613,
0011.jpg,calli-kaggle\data\data\train\oyx\0011.jpg,厕,厕,0.9978064894676208,
0012.jpg,calli-kaggle\data\data\train\oyx\0012.jpg,审,审,0.9933907985687256,
0013.jpg,calli-kaggle\data\data\train\oyx\0013.jpg,从,从,0.9959779381752014,
0014.jpg,calli-kaggle\data\data\train\oyx\0014.jpg,驼,驼,0.9997639060020447,
0015.jpg,calli-kaggle\data\data\train\oyx\0015.jpg,市,市,0.9998704195022583,
0016.jpg,calli-kaggle\data\data\train\oyx\0016.jpg,UNKNOWN,,0.0,
0017.jpg,calli-kaggle\data\data\train\oyx\0017.jpg,站,站,0.9999433755874634,
0018.jpg,calli-kaggle\data\data\train\oyx\0018.jpg,UNKNOWN,,0.0,
0019.jpg,calli-kaggle\data\data\train\oyx\0019.jpg,嘉,嘉,0.9996559619903564,
0020.jpg,calli-kaggle\data\data\train\oyx\0020.jpg,巷,巷,0.9909206628799438,
0021.jpg,calli-kaggle\data\data\train\oyx\0021.jpg,靶,靶,0.9911063313484192,
0022.jpg,calli-kaggle\data\data\train\oyx\0022.jpg,各,各,0.9979375600814819,
0023.jpg,calli-kaggle\data\data\train\oyx\0023.jpg,端,端,0.9949082732200623,
0024.jpg,calli-kaggle\data\data\train\oyx\0024.jpg,丹,丹,0.8224777579307556,
0025.jpg,calli-kaggle\data\data\train\oyx\0025.jpg,谍,谍,0.9859679937362671,
0026.jpg,calli-kaggle\data\data\train\oyx\0026.jpg,栏,栏,0.9982230067253113,
0027.jpg,calli-kaggle\data\data\train\oyx\0027.jpg,旭,旭,0.9995735287666321,
0028.jpg,calli-kaggle\data\data\train\oyx\0028.jpg,史,史,0.998528242111206,
0029.jpg,calli-kaggle\data\data\train\oyx\0029.jpg,UNKNOWN,,0.0,
0030.jpg,calli-kaggle\data\data\train\oyx\0030.jpg,UNKNOWN,,0.0,
0031.jpg,calli-kaggle\data\data\train\oyx\0031.jpg,越,越,0.9998778104782104,
0032.jpg,calli-kaggle\data\data\train\oyx\0032.jpg,玛,玛,0.9949761629104614,
0033.jpg,calli-kaggle\data\data\train\oyx\0033.jpg,闽,闽,0.9991121888160706,
0034.jpg,calli-kaggle\data\data\train\oyx\0034.jpg,郴,郴,0.6917815208435059,
0035.jpg,calli-kaggle\data\data\train\oyx\0035.jpg,UNKNOWN,,0.0,
0036.jpg,calli-kaggle\data\data\train\oyx\0036.jpg,苹,苹,0.9005598425865173,
0037.jpg,calli-kaggle\data\data\train\oyx\0037.jpg,UNKNOWN,,0.0,
0038.jpg,calli-kaggle\data\data\train\oyx\0038.jpg,赵,赵,0.997619092464447,
